Date,Query,Tag,Relevant
2020-05-30,good morning,greeting,True
2020-05-30,what can you do,options,True
2020-05-30,good morning,greeting,True
2020-05-30,bye,goodbye,True
2020-06-03,hello,greeting,True
2020-06-03,how do i apply to nus,Application_window,True
2020-06-03,hello,greeting,True
2020-06-03,when can i apply to nus,Application_window,True
2020-06-03,hello,greeting,True
2020-06-03,hello,greeting,True
2020-06-03,when can i apply to nus,Application_window,True
2020-06-03,hello,greeting,True2020-06-15,nus com,ComCurriculum,True
2020-06-15,nus com,ComCurriculum,True
2020-06-15,bza,thanks,True
2020-06-15,business analytics,Aptitude-based_admissions,True
2020-06-15,can you explain to me more about business analytics,Aptitude-based_admissions,True
2020-06-15,business analytics,Aptitude-based_admissions,True
2020-06-15,business analytic,defer studies and reserve place,True
2020-06-15,computer science,Online_submission_supporting_documents,True
2020-06-15,business analytic,defer studies and reserve place,True
2020-06-15,business analytics,defer studies and reserve place,True
2020-06-15,computer science,Online_submission_supporting_documents,True
2020-06-15,Computer Science,Online_submission_supporting_documents,True
2020-06-15,business analytics,defer studies and reserve place,True
2020-06-15,business analytics,defer studies and reserve place,True
2020-06-15,business analytics,Admission_into_special_courses,True
2020-06-15,business analytics,BZA,True
2020-06-15,nus curriculum,ComCurriculum,True
2020-06-15,nus com curriculum,ComCurriculum,True
2020-06-15,nus com curriculum,ComCurriculum,True
2020-06-15,nus com curriculum,ComCurriculum,True
